"Title","Artist","Album","Time","BPM","Key","URL"
"I Just Called To Say I Love You (Single Version)","STEVIE WONDER",,"04:23","113.6","Db","soundcloud:tracks:259001650"
"Summertime","DJ Jazzy Jeff & The Fresh Prince",,"04:31","95.1","Bb","soundcloud:tracks:655243703"
"Doin' It (feat. Leshaun)","LL Cool J",,"04:54","95.0","Ab","soundcloud:tracks:256108292"
"They Paved Paradise and Put up a Parking Lot (Acoustic)","Red Tracy",,"02:17","86.0","E","soundcloud:tracks:288206467"
"Around The Way Girl","LL Cool J",,"04:08","101.1","Gb","soundcloud:tracks:256108282"
"I'm Coming Out","Diana Ross",,"05:25","109.1","F","soundcloud:tracks:254149921"
"Mo Money Mo Problems (feat. Puff Daddy & Mase) [Radio Mix] [2014 Remaster] (Radio Mix; 2014 Remaster)","Notorious B.I.G.",,"04:12","104.4","E","soundcloud:tracks:257076846"
"The Stranger","Billy Joel",,"05:07","84.0","G","soundcloud:tracks:257053879"
"Boys Noize - Rock The Bells","Boys Noize",,"02:52","102.9","A","soundcloud:tracks:265002894"
"Peter Piper","RUN-DMC",,"03:24","105.5","Ab","soundcloud:tracks:256076487"
"Ain't Nobody","Chaka Khan",,"04:40","104.2","Gb","soundcloud:tracks:231847967"
"Tears For Fears -  Everybody Wants To Rule The World","aramis-schultz",,"03:10","111.3","D","soundcloud:tracks:15464864"
"Brand New Funk","DJ Jazzy Jeff & The Fresh Prince",,"04:03","98.0","Ab","soundcloud:tracks:655242083"
"Come Down (Prod. by Hi-Tek)","anderson .paak",,"02:49","98.4","Db","soundcloud:tracks:241158142"
"I Want You Back","Jackson 5",,"02:56","98.2","Ab","soundcloud:tracks:253478168"
"The Weeknd - Can't Feel My Face","The Weeknd",,"03:36","108.0","C","soundcloud:tracks:253876860"
"James Baby","Stro Elliot",,"02:13","111.0","Ab","soundcloud:tracks:160167505"
"All Night (feat. Knox Fortune)","""Chance The Rapper""",,"02:21","112.0","D","soundcloud:tracks:266130188"
"Sunshine","Tom Misch",,"03:38","113.0","D","soundcloud:tracks:210606695"
"The Breaks","Kurtis Blow",,"07:43","112.8","D","soundcloud:tracks:253478905"
